ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.018595948260880135,105.471,-0.607426,0.0955377,9.68372,9.96436,10.5492,11.5173,13.0177,15.3102,18.8419,24.2959,32.372,42.9086,13.1662,5.93767,4.19607,3.35684,2.88105,2.59776,2.43585,2.36305,2.36658
0.0,1.0,-3.091298544093846E-5,146.306,-0.434207,-0.00685993,8.60544,8.72318,9.11443,9.84158,11.0375,12.9717,16.2241,22.2039,34.8916,59.0705,34.9299,10.7745,7.03485,5.38336,4.48132,3.94566,3.62548,3.45225,3.39484
1.0,0.0,-0.01086962799063473,114.542,-0.203969,-0.254625,7.48058,7.24853,7.25822,7.51136,8.0556,9.01017,10.6499,13.712,21.3701,76.5027,45.4036,24.7826,14.8871,10.325,7.95474,6.58738,5.75027,5.23182,4.92899
1.0,0.0,0.007150145164099886,151.584,0.429296,0.107604,3.44463,3.56876,3.8262,4.26877,5.00961,6.32188,9.065,17.5259,58.1848,128.029,26.8254,17.8656,13.8539,11.6016,10.1997,9.32558,8.81732,8.59395,8.62289
1.0,0.0,-0.008654423543357605,286.356,0.662514,-0.00772077,5.06244,5.13486,5.37827,5.8364,6.60628,7.90179,10.2624,15.563,58.1785,135.182,86.1474,59.8539,45.5103,37.1128,31.8745,28.5402,26.4689,25.3237,24.9384
0.0,1.0,-0.36935525493693766,103.141,-0.743178,-0.00284928,10.4591,10.5994,11.0483,11.8676,13.1821,15.2235,18.4135,23.282,30.4707,40.5815,56.457,4.87013,3.17845,2.43447,2.02828,1.78722,1.64335,1.56591,1.54093
1.0,0.0,-0.010058034966851625,108.275,0.729825,0.040089,1.62236,1.65946,1.7533,1.92103,2.1994,2.66992,3.54311,5.57781,21.0948,53.7772,34.4961,23.9928,18.2855,14.963,12.9202,11.6401,10.8663,10.4685,10.3869
0.0,1.0,-0.3610160639881527,78.3172,-0.150281,0.0977461,5.77899,5.97139,6.37749,7.07346,8.22031,10.1802,13.9226,19.4381,24.2504,28.2594,31.4433,9.83261,7.29837,5.94643,5.14908,4.66527,4.38639,4.26115,4.26897
1.0,0.0,-0.36791510419774065,104.662,-0.750624,-0.0180251,10.5053,10.6206,11.0425,11.8286,13.0973,15.0688,18.1497,23.0948,31.2268,43.3103,57.9951,4.96442,3.17418,2.40892,1.99566,1.75124,1.60494,1.52489,1.49651
1.0,0.0,-0.019898161467572867,139.472,0.354199,0.010063,3.22913,3.28455,3.44781,3.74719,4.24332,5.06561,6.52087,9.51807,18.1676,62.7338,48.2801,20.0743,13.5252,10.488,8.79785,7.78723,7.18451,6.86462,6.77136
1.0,0.0,-0.0012623559803938101,196.721,0.265301,0.0230411,4.40936,4.49565,4.73204,5.16015,5.86952,7.05347,9.18537,13.7636,29.2102,180.169,38.6763,20.8808,14.6047,11.4981,9.72498,8.65346,8.01396,7.67976,7.59382
1.0,0.0,7.94785908019442E-4,140.75,0.626572,0.0668967,2.24564,2.30789,2.45081,2.70076,3.11415,3.81706,5.14208,8.33944,36.1322,65.8754,34.8947,22.8234,17.083,13.9127,12.0123,10.8425,10.151,9.81485,9.78079
1.0,0.0,-0.0088534047539342,134.811,-0.335299,-0.245216,8.2733,8.03297,8.05763,8.35161,8.96966,10.0461,11.8879,15.3086,23.659,87.7979,47.3918,22.6703,12.7559,8.66875,6.63571,5.48409,4.78568,4.35626,4.10791
1.0,0.0,-0.36336898987991756,87.5573,-0.78299,0.0467506,10.7077,10.9199,11.4318,12.3028,13.6379,15.6138,18.4921,22.6102,28.2269,35.1559,42.4709,3.65683,2.4885,1.94946,1.6492,1.47041,1.36555,1.31303,1.30352
1.0,0.0,-0.003184280799004604,147.104,0.327601,0.0205053,3.3627,3.42697,3.60542,3.92944,4.46656,5.3625,6.97309,10.4189,21.9138,103.634,34.2511,18.3769,12.8233,10.0827,8.5205,7.57681,7.01316,6.71753,6.6394
1.0,0.0,-0.008972286017204425,134.774,-0.190798,-0.215294,7.32234,7.15102,7.21245,7.51732,8.12277,9.16329,10.9468,14.3083,22.9353,82.6274,45.2638,23.4031,14.0923,9.92351,7.74843,6.48533,5.71088,5.23531,4.96626
